"Gender","Age","City","Gov_Assistance","Education_Level","Physical_Activity","Breakfast_Frequency","Whole_Grain_Consumption","Dairy_Products_Consumption","Caffeine_Consumption","Fruits_Consumption","Vegetables_Consumption","Fish_Consumption","Food Security Score","Resilience Score","Stress Mindset Score","Mental Distress Score","FC"
"Female","50 and older","Ajlun","No","Undergraduate","3 times","6 or 7 times","Never","3 times","4 times","5 times or more","5 times or more","2 times",0,24,18,27,"high"
"Female","50 and older","Aqaba","No","Undergraduate","4 times","3 times","2 times","3 times","5 times or more","3 times","1 time","1 time",5,25,24,34,"very low"
"Female","18-22","Amman","No","High School","2 times","6 or 7 times","5 times or more","5 times or more","2 times","3 times","2 times","Never",0,14,18,28,"high"
"Female","30-39","Irbid","No","Undergraduate","3 times","5 times","Never","5 times or more","2 times","Never","1 time","Never",1,8,5,35,"high"
"Female","18-22","Amman","No","High School","2 times","4 times","Never","3 times","5 times or more","3 times","1 time","Never",4,10,14,35,"low"
"Female","18-22","Amman","Yes","Undergraduate","5 times","6 or 7 times","3 times","5 times or more","3 times","4 times","1 time","1 time",0,22,19,25,"high"
"Female","18-22","Aqaba","No","Undergraduate","1 time","5 times","1 time","3 times","2 times","4 times","1 time","1 time",0,22,15,28,"high"
"Female","18-22","Amman","No","High School","5 times","5 times","Never","2 times","5 times or more","3 times","Never","Never",5,10,8,40,"very low"
"Male","18-22","Irbid","No","High School","6-7 times","6 or 7 times","3 times","5 times or more","1 time","5 times or more","5 times or more","1 time",0,17,19,31,"high"
"Female","18-22","Amman","No","High School","1 time","2 times","3 times","3 times","5 times or more","3 times","Never","2 times",4,18,16,31,"low"
"Male","18-22","Aqaba","No","High School","4 times","4 times","2 times","3 times","4 times","3 times","2 times","1 time",2,21,18,32,"low"
"Female","18-22","Amman","No","High School","3 times","6 or 7 times","1 time","3 times","5 times or more","3 times","1 time","Never",0,20,10,28,"high"
"Female","18-22","Aqaba","No","Undergraduate","2 times","3 times","Never","5 times or more","5 times or more","4 times","Never","Never",0,17,20,31,"high"
"Male","30-39","Irbid","No","High School","6-7 times","6 or 7 times","5 times or more","5 times or more","5 times or more","5 times or more","3 times","2 times",0,18,8,26,"high"
"Female","18-22","Ajlun","No","High School","6-7 times","6 or 7 times","3 times","1 time","5 times or more","4 times","3 times","1 time",0,24,15,30,"high"
"Female","18-22","Aqaba","No","High School","6-7 times","6 or 7 times","2 times","5 times or more","4 times","2 times","2 times","2 times",0,17,15,35,"high"
"Female","18-22","Ajlun","No","High School","4 times","3 times","3 times","3 times","2 times","4 times","2 times","1 time",2,21,16,39,"low"
"Female","18-22","Ajlun","No","High School","5 times","3 times","3 times","2 times","5 times or more","2 times","2 times","Never",0,22,13,31,"high"
"Female","18-22","Irbid","No","High School","6-7 times","5 times","2 times","5 times or more","4 times","5 times or more","5 times or more","3 times",0,18,7,39,"high"
"Female","18-22","Irbid","No","High School","6-7 times","2 times","2 times","5 times or more","Never","5 times or more","5 times or more","2 times",1,20,10,22,"high"
"Male","18-22","Aqaba","No","Undergraduate","2 times","6 or 7 times","3 times","2 times","5 times or more","2 times","5 times or more","1 time",3,16,9,34,"low"
"Male","50 and older","Ajlun","No","Undergraduate","3 times","4 times","5 times or more","2 times","3 times","2 times","1 time","1 time",0,29,17,25,"high"
"Female","18-22","Irbid","No","Undergraduate","5 times","6 or 7 times","Never","5 times or more","Never","2 times","2 times","Never",2,17,13,35,"low"
"Female","18-22","Irbid","No","High School","3 times","Never","5 times or more","3 times","4 times","2 times","4 times","Never",0,23,19,28,"high"
"Male","18-22","Aqaba","No","High School","5 times","2 times","1 time","2 times","2 times","5 times or more","3 times","2 times",7,22,14,32,"very low"
"Female","18-22","Aqaba","Yes","Undergraduate","None","Never","1 time","Never","1 time","3 times","1 time","Never",4,14,15,35,"low"
"Female","18-22","Ajlun","No","Undergraduate","5 times","3 times","2 times","4 times","3 times","1 time","4 times","2 times",0,13,15,36,"high"
"Male","30-39","Amman","Yes","High School","3 times","6 or 7 times","5 times or more","5 times or more","Never","5 times or more","Never","Never",0,6,17,38,"high"
